Store ID,Store Name,Business ID,Merchant Store ID,Payout Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Total Tips,Snap Ebt Discount,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Net Payout,Transactions Start Local Date,Transactions End Local Date,Transactions Start UTC Date,Transactions End UTC Date,Payout ID,Payout Status,Tax Remitted by DoorDash to State,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Customer Delivery Fee,Customer Delivery Fee Tax,Customer Small Order Fee,Customer Small Order Fee Tax,Staff Tip,Courier Tip,Flexible Fulfillment Fee,Subscription Fee,Subtotal Tax Remitted by DoorDash to Tax Authorities,Customer Fee Tax Remitted by DoorDash to Tax Authorities,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
787703,Pizza Palace (Reisterstown),252381,NULL,2025-05-13,USD,67.67,3.93,7.86,0.00,0.00,3.39,0.00,7.00,0.00,0.00,0.00,55.54,55.54,2025-05-09,2025-05-09,2025-05-09,2025-05-10,482751006,PAID,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,-2.40,0.00,0.00,-15.79,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-05-12,USD,337.26,19.44,39.93,0.00,0.00,16.80,0.00,42.53,0.00,0.00,0.00,303.33,303.33,2025-05-06,2025-05-08,2025-05-06,2025-05-08,482571564,PAID,0.00,0.00,0.00,0.00,0.00,0.00,5.98,0.00,0.00,0.00,0.00,42.53,0.00,0.00,0.00,0.00,-13.83,0.00,0.00,-48.12,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-05-09,USD,204.26,11.74,25.06,0.00,0.00,10.98,0.00,30.25,0.00,0.00,0.00,196.22,196.22,2025-05-05,2025-05-05,2025-05-05,2025-05-06,481685937,PAID,0.00,0.00,0.00,0.00,0.00,0.00,8.97,0.00,0.00,0.00,0.00,30.25,0.00,0.00,0.00,0.00,-9.00,0.00,0.00,-24.94,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-05-08,USD,131.66,7.23,16.88,0.00,0.00,14.37,0.00,16.00,0.00,0.00,0.00,115.45,115.45,2025-05-04,2025-05-04,2025-05-04,2025-05-05,481624859,PAID,0.00,0.00,3.00,0.00,0.00,0.00,5.98,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,-11.40,0.00,0.00,-14.14,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-05-07,USD,228.65,12.06,22.57,0.00,0.00,35.12,0.00,27.00,0.00,0.00,0.00,187.09,187.09,2025-05-03,2025-05-03,2025-05-03,2025-05-04,481067116,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,-28.19,0.00,0.00,-29.86,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-05-06,USD,218.83,12.15,23.89,0.00,0.00,19.62,0.00,22.00,0.00,0.00,0.00,196.44,196.44,2025-05-02,2025-05-02,2025-05-02,2025-05-03,481014264,PAID,0.00,0.00,0.00,0.00,0.00,0.00,5.98,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,-16.65,0.00,0.00,-21.98,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-05-05,USD,445.30,24.41,48.13,0.00,0.00,49.36,0.00,50.50,0.00,0.00,0.00,394.63,394.63,2025-04-29,2025-05-01,2025-04-29,2025-05-02,480823398,PAID,0.00,0.00,0.00,0.00,0.00,0.00,17.94,0.00,0.00,0.00,0.00,50.50,0.00,0.00,0.00,0.00,-39.46,0.00,0.00,-55.93,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-05-02,USD,67.47,3.87,4.20,0.00,0.00,3.99,0.00,5.00,0.00,0.00,0.00,56.81,56.81,2025-04-28,2025-04-28,2025-04-28,2025-04-29,479968326,PAID,0.00,0.00,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,-11.12,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-05-01,USD,240.08,12.93,27.70,0.00,0.00,29.88,0.00,29.50,0.00,14.71,0.00,195.99,195.99,2025-04-27,2025-04-27,2025-04-27,2025-04-28,479926151,PAID,0.00,0.00,3.00,0.00,0.00,0.00,5.98,0.00,0.00,0.00,0.00,29.50,0.00,0.00,0.00,0.00,-24.93,0.00,0.00,-22.16,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-04-30,USD,191.37,10.42,22.05,0.00,0.00,21.98,0.00,25.00,0.00,0.00,0.00,174.67,174.67,2025-04-26,2025-04-26,2025-04-26,2025-04-27,479355986,PAID,0.00,0.00,0.00,0.00,0.00,0.00,5.98,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,-18.02,0.00,0.00,-18.03,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-04-29,USD,421.26,24.46,51.52,0.00,0.00,18.28,0.00,53.49,0.00,0.00,0.00,395.66,395.66,2025-04-25,2025-04-25,2025-04-25,2025-04-26,479300838,PAID,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.00,0.00,0.00,0.00,53.49,0.00,0.00,0.00,0.00,-14.32,0.00,0.00,-40.70,0.00,0.00,0.00
787703,Pizza Palace (Reisterstown),252381,NULL,2025-04-28,USD,208.00,11.45,20.36,0.00,0.00,22.46,0.00,20.00,0.00,0.00,0.00,184.36,184.36,2025-04-22,2025-04-24,2025-04-22,2025-04-25,479152636,PAID,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.00,0.00,0.00,2.00,18.00,0.00,0.00,0.00,0.00,-17.51,0.00,0.00,-20.21,0.00,0.00,0.00
