Timestamp local time,Store ID,Store name,DoorDash transaction ID,DoorDash order ID,POS order ID,Transaction type,Channel,Description,Subtotal,Tax (subtotal),Customer fees,Tax (customer fees),Total tips,Commission,Tax (commission),Merchant fees | (for historical reference only),Tax (merchant fees) | (for historical reference only),Error charges,Adjustments | (for historical reference only),Net total,Payout date,Payout ID,Merchant fees,Tax (merchant fees),Marketing fees & discounts | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Adjustments
2024-12-01 06:26:22.766368000,787703,Pizza Palace (Reisterstown),11841898541,NULL,NULL,Fee,NULL,Tablet fee,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,0.00,-3.00,2024-12-05,444854366,-3.00,0.00,0.00,0.00,0.00,0.00
2024-12-01 15:09:52.500903000,787703,Pizza Palace (Reisterstown),11844525161,2D70B2C2,NULL,Order,Self-delivery,NULL,31.98,1.64,0.00,0.00,5.50,-3.26,0.00,-5.78,0.00,0.00,0.00,30.08,2024-12-05,444854366,0.00,0.00,-5.78,0.00,0.00,0.00
2024-12-01 16:19:31.479220000,787703,Pizza Palace (Reisterstown),11845157268,3F8F0AB6,NULL,Order,Self-delivery,NULL,37.48,1.92,0.00,0.00,5.50,-3.82,0.00,-6.61,0.00,0.00,0.00,34.47,2024-12-05,444854366,0.00,0.00,-6.61,0.00,0.00,0.00
2024-12-01 18:04:25.430181000,787703,Pizza Palace (Reisterstown),11846264028,E34ED367,NULL,Order,Self-delivery,NULL,19.74,1.01,0.00,0.00,4.50,-2.01,0.00,-3.95,0.00,0.00,0.00,19.29,2024-12-05,444854366,0.00,0.00,-3.95,0.00,0.00,0.00
2024-12-02 13:58:55.347198000,787703,Pizza Palace (Reisterstown),11852727543,52A64690,NULL,Order,Self-delivery,NULL,15.99,0.82,0.00,0.00,0.00,-0.82,0.00,-3.38,0.00,0.00,0.00,12.61,2024-12-06,444872047,0.00,0.00,-3.38,0.00,0.00,0.00
2024-12-02 19:46:29.478886000,787703,Pizza Palace (Reisterstown),11855846548,A35431D3,NULL,Order,Self-delivery,NULL,20.39,1.05,0.00,0.00,2.50,-2.09,0.00,-3.99,0.00,0.00,0.00,17.86,2024-12-06,444872047,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-02 19:54:07.988443000,787703,Pizza Palace (Reisterstown),11855931927,A40ABA9E,NULL,Order,Self-delivery,NULL,53.23,2.84,0.00,0.00,5.00,-5.67,0.00,-6.99,0.00,0.00,0.00,48.41,2024-12-06,444872047,0.00,0.00,-6.99,0.00,0.00,0.00
2024-12-02 20:00:49.792901000,787703,Pizza Palace (Reisterstown),11856015574,02969C1C,NULL,Order,Self-delivery,NULL,17.84,0.92,0.00,0.00,3.00,-1.82,0.00,-3.66,0.00,0.00,0.00,16.28,2024-12-06,444872047,0.00,0.00,-3.66,0.00,0.00,0.00
2024-12-02 22:01:27.084825000,787703,Pizza Palace (Reisterstown),11857264494,5BFDFC1F,NULL,Order,Self-delivery,NULL,35.47,1.81,0.00,0.00,0.00,-1.81,0.00,-6.31,0.00,0.00,0.00,29.16,2024-12-06,444872047,0.00,0.00,-6.31,0.00,0.00,0.00
2024-12-03 17:05:01.538933000,787703,Pizza Palace (Reisterstown),11862228505,8F45E454,NULL,Order,Self-delivery,NULL,20.24,1.04,0.00,0.00,0.00,-1.03,0.00,-3.99,0.00,0.00,0.00,16.26,2024-12-09,445671781,0.00,0.00,-3.99,0.00,0.00,0.00
